from_id,to_id,straight_line_m,walk_m_est,walk_min_est,method
bldg2,killian,41,51,0.6,haversine_x1.25_at_80m_per_min
bldg2,bldg26,273,341,4.3,haversine_x1.25_at_80m_per_min
bldg2,bldg45,279,348,4.4,haversine_x1.25_at_80m_per_min
bldg2,bldg46,297,372,4.6,haversine_x1.25_at_80m_per_min
bldg2,stata,356,445,5.6,haversine_x1.25_at_80m_per_min
bldg2,media_lab,385,481,6.0,haversine_x1.25_at_80m_per_min
bldg2,sloan,656,820,10.2,haversine_x1.25_at_80m_per_min
bldg2,mit_medical,631,789,9.9,haversine_x1.25_at_80m_per_min
bldg2,student_center,261,326,4.1,haversine_x1.25_at_80m_per_min
bldg2,kresge,322,403,5.0,haversine_x1.25_at_80m_per_min
bldg2,chapel,277,346,4.3,haversine_x1.25_at_80m_per_min
bldg2,kresge_oval,289,362,4.5,haversine_x1.25_at_80m_per_min
bldg2,zesiger,352,441,5.5,haversine_x1.25_at_80m_per_min
bldg2,johnson,491,614,7.7,haversine_x1.25_at_80m_per_min
bldg2,central_sq,1221,1526,19.1,haversine_x1.25_at_80m_per_min
bldg2,back_bay,978,1223,15.3,haversine_x1.25_at_80m_per_min
bldg4,maseeh,372,465,5.8,haversine_x1.25_at_80m_per_min
bldg4,mccormick,607,758,9.5,haversine_x1.25_at_80m_per_min
bldg4,baker,735,919,11.5,haversine_x1.25_at_80m_per_min
bldg4,burton_conner,880,1099,13.7,haversine_x1.25_at_80m_per_min
bldg4,macgregor,1039,1298,16.2,haversine_x1.25_at_80m_per_min
bldg4,new_house,1145,1431,17.9,haversine_x1.25_at_80m_per_min
bldg4,next_house,1270,1588,19.8,haversine_x1.25_at_80m_per_min
bldg4,simmons,914,1143,14.3,haversine_x1.25_at_80m_per_min
bldg4,east_campus,274,343,4.3,haversine_x1.25_at_80m_per_min
bldg4,bldg7,180,224,2.8,haversine_x1.25_at_80m_per_min
bldg4,bldg3,113,142,1.8,haversine_x1.25_at_80m_per_min
bldg4,bldg10,73,91,1.1,haversine_x1.25_at_80m_per_min
bldg4,bldg2,53,67,0.8,haversine_x1.25_at_80m_per_min
bldg4,bldg6,68,85,1.1,haversine_x1.25_at_80m_per_min
bldg4,hayden,115,144,1.8,haversine_x1.25_at_80m_per_min
bldg4,killian,87,109,1.4,haversine_x1.25_at_80m_per_min
bldg4,bldg26,238,297,3.7,haversine_x1.25_at_80m_per_min
bldg4,bldg45,231,289,3.6,haversine_x1.25_at_80m_per_min
bldg4,bldg46,244,305,3.8,haversine_x1.25_at_80m_per_min
bldg4,stata,305,381,4.8,haversine_x1.25_at_80m_per_min
bldg4,media_lab,356,445,5.6,haversine_x1.25_at_80m_per_min
bldg4,sloan,631,789,9.9,haversine_x1.25_at_80m_per_min
bldg4,mit_medical,590,738,9.2,haversine_x1.25_at_80m_per_min
bldg4,student_center,278,348,4.4,haversine_x1.25_at_80m_per_min
bldg4,kresge,350,438,5.5,haversine_x1.25_at_80m_per_min
bldg4,chapel,308,385,4.8,haversine_x1.25_at_80m_per_min
bldg4,kresge_oval,313,391,4.9,haversine_x1.25_at_80m_per_min
bldg4,zesiger,350,438,5.5,haversine_x1.25_at_80m_per_min
bldg4,johnson,484,605,7.6,haversine_x1.25_at_80m_per_min
bldg4,central_sq,1201,1501,18.8,haversine_x1.25_at_80m_per_min
bldg4,back_bay,1023,1279,16.0,haversine_x1.25_at_80m_per_min
bldg6,maseeh,425,532,6.6,haversine_x1.25_at_80m_per_min
bldg6,mccormick,668,835,10.4,haversine_x1.25_at_80m_per_min
bldg6,baker,799,998,12.5,haversine_x1.25_at_80m_per_min
bldg6,burton_conner,945,1181,14.8,haversine_x1.25_at_80m_per_min
bldg6,macgregor,1106,1382,17.3,haversine_x1.25_at_80m_per_min
bldg6,new_house,1212,1515,18.9,haversine_x1.25_at_80m_per_min
bldg6,next_house,1338,1673,20.9,haversine_x1.25_at_80m_per_min
bldg6,simmons,980,1225,15.3,haversine_x1.25_at_80m_per_min
bldg6,east_campus,208,260,3.3,haversine_x1.25_at_80m_per_min
bldg6,bldg7,247,308,3.9,haversine_x1.25_at_80m_per_min
bldg6,bldg3,180,225,2.8,haversine_x1.25_at_80m_per_min
bldg6,bldg10,138,173,2.2,haversine_x1.25_at_80m_per_min
bldg6,bldg2,93,117,1.5,haversine_x1.25_at_80m_per_min
bldg6,bldg4,68,85,1.1,haversine_x1.25_at_80m_per_min
bldg6,hayden,51,64,0.8,haversine_x1.25_at_80m_per_min
bldg6,killian,134,168,2.1,haversine_x1.25_at_80m_per_min
bldg6,bldg26,290,362,4.5,haversine_x1.25_at_80m_per_min
bldg6,bldg45,262,327,4.1,haversine_x1.25_at_80m_per_min
bldg6,bldg46,248,310,3.9,haversine_x1.25_at_80m_per_min
bldg6,stata,280,350,4.4,haversine_x1.25_at_80m_per_min
bldg6,media_lab,293,366,4.6,haversine_x1.25_at_80m_per_min
bldg6,sloan,566,707,8.8,haversine_x1.25_at_80m_per_min
bldg6,mit_medical,539,673,8.4,haversine_x1.25_at_80m_per_min
bldg6,student_center,345,431,5.4,haversine_x1.25_at_80m_per_min
bldg6,kresge,413,516,6.4,haversine_x1.25_at_80m_per_min
bldg6,chapel,369,461,5.8,haversine_x1.25_at_80m_per_min
bldg6,kresge_oval,378,472,5.9,haversine_x1.25_at_80m_per_min
bldg6,zesiger,418,522,6.5,haversine_x1.25_at_80m_per_min
bldg6,johnson,550,688,8.6,haversine_x1.25_at_80m_per_min
bldg6,central_sq,1260,1575,19.7,haversine_x1.25_at_80m_per_min
bldg6,back_bay,999,1249,15.6,haversine_x1.25_at_80m_per_min
hayden,maseeh,447,559,7.0,haversine_x1.25_at_80m_per_min
hayden,mccormick,698,872,10.9,haversine_x1.25_at_80m_per_min
hayden,baker,831,1039,13.0,haversine_x1.25_at_80m_per_min
hayden,burton_conner,981,1226,15.3,haversine_x1.25_at_80m_per_min
hayden,macgregor,1144,1430,17.9,haversine_x1.25_at_80m_per_min
hayden,new_house,1252,1566,19.6,haversine_x1.25_at_80m_per_min
hayden,next_house,1380,1726,21.6,haversine_x1.25_at_80m_per_min
hayden,simmons,1029,1286,16.1,haversine_x1.25_at_80m_per_min
hayden,east_campus,160,200,2.5,haversine_x1.25_at_80m_per_min
hayden,bldg7,288,359,4.5,haversine_x1.25_at_80m_per_min
hayden,bldg3,220,275,3.4,haversine_x1.25_at_80m_per_min
hayden,bldg10,187,234,2.9,haversine_x1.25_at_80m_per_min
hayden,bldg2,124,155,1.9,haversine_x1.25_at_80m_per_min
hayden,bldg4,115,144,1.8,haversine_x1.25_at_80m_per_min
hayden,bldg6,51,64,0.8,haversine_x1.25_at_80m_per_min
hayden,killian,162,203,2.5,haversine_x1.25_at_80m_per_min
hayden,bldg26,340,425,5.3,haversine_x1.25_at_80m_per_min
hayden,bldg45,309,386,4.8,haversine_x1.25_at_80m_per_min
hayden,bldg46,285,356,4.4,haversine_x1.25_at_80m_per_min
hayden,stata,298,372,4.6,haversine_x1.25_at_80m_per_min
hayden,media_lab,266,332,4.2,haversine_x1.25_at_80m_per_min
hayden,sloan,534,667,8.3,haversine_x1.25_at_80m_per_min
hayden,mit_medical,527,659,8.2,haversine_x1.25_at_80m_per_min
hayden,student_center,384,479,6.0,haversine_x1.25_at_80m_per_min
hayden,kresge,445,557,7.0,haversine_x1.25_at_80m_per_min
hayden,chapel,400,499,6.2,haversine_x1.25_at_80m_per_min
hayden,kresge_oval,413,516,6.5,haversine_x1.25_at_80m_per_min
hayden,zesiger,465,581,7.3,haversine_x1.25_at_80m_per_min
hayden,johnson,599,749,9.4,haversine_x1.25_at_80m_per_min
hayden,central_sq,1311,1639,20.5,haversine_x1.25_at_80m_per_min
hayden,back_bay,961,1201,15.0,haversine_x1.25_at_80m_per_min
killian,maseeh,291,364,4.5,haversine_x1.25_at_80m_per_min
killian,mccormick,536,670,8.4,haversine_x1.25_at_80m_per_min
killian,baker,669,836,10.5,haversine_x1.25_at_80m_per_min
killian,burton_conner,819,1024,12.8,haversine_x1.25_at_80m_per_min
killian,macgregor,983,1229,15.4,haversine_x1.25_at_80m_per_min
killian,new_house,1094,1367,17.1,haversine_x1.25_at_80m_per_min
killian,next_house,1225,1531,19.1,haversine_x1.25_at_80m_per_min
killian,simmons,896,1121,14.0,haversine_x1.25_at_80m_per_min
killian,east_campus,312,391,4.9,haversine_x1.25_at_80m_per_min
killian,bldg7,138,173,2.2,haversine_x1.25_at_80m_per_min
killian,bldg3,78,98,1.2,haversine_x1.25_at_80m_per_min
killian,bldg10,108,135,1.7,haversine_x1.25_at_80m_per_min
killian,bldg2,41,51,0.6,haversine_x1.25_at_80m_per_min
killian,bldg4,87,109,1.4,haversine_x1.25_at_80m_per_min
killian,bldg6,134,168,2.1,haversine_x1.25_at_80m_per_min
killian,hayden,162,203,2.5,haversine_x1.25_at_80m_per_min
killian,bldg26,275,344,4.3,haversine_x1.25_at_80m_per_min
killian,bldg45,296,370,4.6,haversine_x1.25_at_80m_per_min
killian,bldg46,325,407,5.1,haversine_x1.25_at_80m_per_min
killian,stata,392,490,6.1,haversine_x1.25_at_80m_per_min
killian,media_lab,425,531,6.6,haversine_x1.25_at_80m_per_min
killian,sloan,696,870,10.9,haversine_x1.25_at_80m_per_min
killian,mit_medical,672,840,10.5,haversine_x1.25_at_80m_per_min
killian,student_center,226,283,3.5,haversine_x1.25_at_80m_per_min
killian,kresge,283,354,4.4,haversine_x1.25_at_80m_per_min
killian,chapel,237,297,3.7,haversine_x1.25_at_80m_per_min
killian,kresge_oval,252,315,3.9,haversine_x1.25_at_80m_per_min
killian,zesiger,328,410,5.1,haversine_x1.25_at_80m_per_min
killian,johnson,469,587,7.3,haversine_x1.25_at_80m_per_min
killian,central_sq,1206,1507,18.8,haversine_x1.25_at_80m_per_min
killian,back_bay,971,1214,15.2,haversine_x1.25_at_80m_per_min
bldg26,maseeh,435,544,6.8,haversine_x1.25_at_80m_per_min
bldg26,mccormick,585,731,9.1,haversine_x1.25_at_80m_per_min
bldg26,baker,681,852,10.6,haversine_x1.25_at_80m_per_min
bldg26,burton_conner,798,997,12.5,haversine_x1.25_at_80m_per_min
bldg26,macgregor,933,1167,14.6,haversine_x1.25_at_80m_per_min
bldg26,new_house,1023,1279,16.0,haversine_x1.25_at_80m_per_min
bldg26,next_house,1131,1414,17.7,haversine_x1.25_at_80m_per_min
bldg26,simmons,720,900,11.3,haversine_x1.25_at_80m_per_min
bldg26,east_campus,490,612,7.6,haversine_x1.25_at_80m_per_min
bldg26,bldg7,209,261,3.3,haversine_x1.25_at_80m_per_min
bldg26,bldg3,212,265,3.3,haversine_x1.25_at_80m_per_min
bldg26,bldg10,173,216,2.7,haversine_x1.25_at_80m_per_min
bldg26,bldg2,273,341,4.3,haversine_x1.25_at_80m_per_min
bldg26,bldg4,238,297,3.7,haversine_x1.25_at_80m_per_min
bldg26,bldg6,290,362,4.5,haversine_x1.25_at_80m_per_min
bldg26,hayden,340,425,5.3,haversine_x1.25_at_80m_per_min
bldg26,killian,275,344,4.3,haversine_x1.25_at_80m_per_min
bldg26,bldg45,101,126,1.6,haversine_x1.25_at_80m_per_min
bldg26,bldg46,200,251,3.1,haversine_x1.25_at_80m_per_min
bldg26,stata,325,406,5.1,haversine_x1.25_at_80m_per_min
bldg26,media_lab,506,633,7.9,haversine_x1.25_at_80m_per_min
bldg26,sloan,773,966,12.1,haversine_x1.25_at_80m_per_min
bldg26,mit_medical,657,821,10.3,haversine_x1.25_at_80m_per_min
bldg26,student_center,264,329,4.1,haversine_x1.25_at_80m_per_min
bldg26,kresge,355,444,5.5,haversine_x1.25_at_80m_per_min
bldg26,chapel,341,426,5.3,haversine_x1.25_at_80m_per_min
bldg26,kresge_oval,309,387,4.8,haversine_x1.25_at_80m_per_min
bldg26,zesiger,219,273,3.4,haversine_x1.25_at_80m_per_min
bldg26,johnson,306,383,4.8,haversine_x1.25_at_80m_per_min
bldg26,central_sq,974,1217,15.2,haversine_x1.25_at_80m_per_min
bldg26,back_bay,1247,1558,19.5,haversine_x1.25_at_80m_per_min
bldg45,maseeh,509,636,7.9,haversine_x1.25_at_80m_per_min
bldg45,mccormick,679,849,10.6,haversine_x1.25_at_80m_per_min
bldg45,baker,780,975,12.2,haversine_x1.25_at_80m_per_min
bldg45,burton_conner,898,1123,14.0,haversine_x1.25_at_80m_per_min
bldg45,macgregor,1034,1292,16.2,haversine_x1.25_at_80m_per_min
bldg45,new_house,1122,1403,17.5,haversine_x1.25_at_80m_per_min
bldg45,next_house,1229,1536,19.2,haversine_x1.25_at_80m_per_min
bldg45,simmons,806,1008,12.6,haversine_x1.25_at_80m_per_min
bldg45,east_campus,440,550,6.9,haversine_x1.25_at_80m_per_min
bldg45,bldg7,274,343,4.3,haversine_x1.25_at_80m_per_min
bldg45,bldg3,253,317,4.0,haversine_x1.25_at_80m_per_min
bldg45,bldg10,189,236,3.0,haversine_x1.25_at_80m_per_min
bldg45,bldg2,279,348,4.4,haversine_x1.25_at_80m_per_min
bldg45,bldg4,231,289,3.6,haversine_x1.25_at_80m_per_min
bldg45,bldg6,262,327,4.1,haversine_x1.25_at_80m_per_min
bldg45,hayden,309,386,4.8,haversine_x1.25_at_80m_per_min
bldg45,killian,296,370,4.6,haversine_x1.25_at_80m_per_min
bldg45,bldg26,101,126,1.6,haversine_x1.25_at_80m_per_min
bldg45,bldg46,101,126,1.6,haversine_x1.25_at_80m_per_min
bldg45,stata,226,283,3.5,haversine_x1.25_at_80m_per_min
bldg45,media_lab,427,534,6.7,haversine_x1.25_at_80m_per_min
bldg45,sloan,685,857,10.7,haversine_x1.25_at_80m_per_min
bldg45,mit_medical,558,698,8.7,haversine_x1.25_at_80m_per_min
bldg45,student_center,348,435,5.4,haversine_x1.25_at_80m_per_min
bldg45,kresge,440,550,6.9,haversine_x1.25_at_80m_per_min
bldg45,chapel,419,523,6.5,haversine_x1.25_at_80m_per_min
bldg45,kresge_oval,394,492,6.2,haversine_x1.25_at_80m_per_min
bldg45,zesiger,319,399,5.0,haversine_x1.25_at_80m_per_min
bldg45,johnson,403,504,6.3,haversine_x1.25_at_80m_per_min
bldg45,central_sq,1035,1294,16.2,haversine_x1.25_at_80m_per_min
bldg45,back_bay,1254,1567,19.6,haversine_x1.25_at_80m_per_min
bldg46,maseeh,576,720,9.0,haversine_x1.25_at_80m_per_min
bldg46,mccormick,766,958,12.0,haversine_x1.25_at_80m_per_min
bldg46,baker,873,1091,13.6,haversine_x1.25_at_80m_per_min
bldg46,burton_conner,996,1244,15.6,haversine_x1.25_at_80m_per_min
bldg46,macgregor,1133,1417,17.7,haversine_x1.25_at_80m_per_min
bldg46,new_house,1223,1529,19.1,haversine_x1.25_at_80m_per_min
bldg46,next_house,1330,1662,20.8,haversine_x1.25_at_80m_per_min
bldg46,simmons,904,1130,14.1,haversine_x1.25_at_80m_per_min
bldg46,east_campus,388,485,6.1,haversine_x1.25_at_80m_per_min
bldg46,bldg7,343,429,5.4,haversine_x1.25_at_80m_per_min
bldg46,bldg3,305,382,4.8,haversine_x1.25_at_80m_per_min
bldg46,bldg10,231,289,3.6,haversine_x1.25_at_80m_per_min
bldg46,bldg2,297,372,4.6,haversine_x1.25_at_80m_per_min
bldg46,bldg4,244,305,3.8,haversine_x1.25_at_80m_per_min
bldg46,bldg6,248,310,3.9,haversine_x1.25_at_80m_per_min
bldg46,hayden,285,356,4.4,haversine_x1.25_at_80m_per_min
bldg46,killian,325,407,5.1,haversine_x1.25_at_80m_per_min
bldg46,bldg26,200,251,3.1,haversine_x1.25_at_80m_per_min
bldg46,bldg45,101,126,1.6,haversine_x1.25_at_80m_per_min
bldg46,stata,125,157,2.0,haversine_x1.25_at_80m_per_min
bldg46,media_lab,342,427,5.3,haversine_x1.25_at_80m_per_min
bldg46,sloan,590,738,9.2,haversine_x1.25_at_80m_per_min
bldg46,mit_medical,457,572,7.1,haversine_x1.25_at_80m_per_min
bldg46,student_center,428,535,6.7,haversine_x1.25_at_80m_per_min
bldg46,kresge,519,648,8.1,haversine_x1.25_at_80m_per_min
bldg46,chapel,491,614,7.7,haversine_x1.25_at_80m_per_min
bldg46,kresge_oval,473,592,7.4,haversine_x1.25_at_80m_per_min
bldg46,zesiger,416,521,6.5,haversine_x1.25_at_80m_per_min
bldg46,johnson,504,630,7.9,haversine_x1.25_at_80m_per_min
bldg46,central_sq,1118,1397,17.5,haversine_x1.25_at_80m_per_min
bldg46,back_bay,1245,1556,19.5,haversine_x1.25_at_80m_per_min
stata,maseeh,668,834,10.4,haversine_x1.25_at_80m_per_min
stata,mccormick,876,1095,13.7,haversine_x1.25_at_80m_per_min
stata,baker,988,1235,15.4,haversine_x1.25_at_80m_per_min
stata,burton_conner,1115,1394,17.4,haversine_x1.25_at_80m_per_min
stata,macgregor,1256,1570,19.6,haversine_x1.25_at_80m_per_min
stata,new_house,1347,1684,21.1,haversine_x1.25_at_80m_per_min
stata,next_house,1455,1819,22.7,haversine_x1.25_at_80m_per_min
stata,simmons,1027,1284,16.0,haversine_x1.25_at_80m_per_min
stata,east_campus,348,435,5.4,haversine_x1.25_at_80m_per_min
stata,bldg7,443,554,6.9,haversine_x1.25_at_80m_per_min
stata,bldg3,394,492,6.2,haversine_x1.25_at_80m_per_min
stata,bldg10,319,399,5.0,haversine_x1.25_at_80m_per_min
stata,bldg2,356,445,5.6,haversine_x1.25_at_80m_per_min
stata,bldg4,305,381,4.8,haversine_x1.25_at_80m_per_min
stata,bldg6,280,350,4.4,haversine_x1.25_at_80m_per_min
stata,hayden,298,372,4.6,haversine_x1.25_at_80m_per_min
stata,killian,392,490,6.1,haversine_x1.25_at_80m_per_min
stata,bldg26,325,406,5.1,haversine_x1.25_at_80m_per_min
stata,bldg45,226,283,3.5,haversine_x1.25_at_80m_per_min
stata,bldg46,125,157,2.0,haversine_x1.25_at_80m_per_min
stata,media_lab,248,311,3.9,haversine_x1.25_at_80m_per_min
stata,sloan,473,592,7.4,haversine_x1.25_at_80m_per_min
stata,mit_medical,333,416,5.2,haversine_x1.25_at_80m_per_min
stata,student_center,535,669,8.4,haversine_x1.25_at_80m_per_min
stata,kresge,623,779,9.7,haversine_x1.25_at_80m_per_min
stata,chapel,590,738,9.2,haversine_x1.25_at_80m_per_min
stata,kresge_oval,579,724,9.0,haversine_x1.25_at_80m_per_min
stata,zesiger,538,672,8.4,haversine_x1.25_at_80m_per_min
stata,johnson,629,787,9.8,haversine_x1.25_at_80m_per_min
stata,central_sq,1226,1533,19.2,haversine_x1.25_at_80m_per_min
stata,back_bay,1240,1550,19.4,haversine_x1.25_at_80m_per_min
media_lab,maseeh,713,892,11.1,haversine_x1.25_at_80m_per_min
media_lab,mccormick,960,1200,15.0,haversine_x1.25_at_80m_per_min
media_lab,baker,1091,1364,17.0,haversine_x1.25_at_80m_per_min
media_lab,burton_conner,1236,1545,19.3,haversine_x1.25_at_80m_per_min
media_lab,macgregor,1393,1741,21.8,haversine_x1.25_at_80m_per_min
media_lab,new_house,1496,1871,23.4,haversine_x1.25_at_80m_per_min
media_lab,next_house,1617,2022,25.3,haversine_x1.25_at_80m_per_min
media_lab,simmons,1227,1533,19.2,haversine_x1.25_at_80m_per_min
media_lab,east_campus,182,228,2.9,haversine_x1.25_at_80m_per_min
media_lab,bldg7,535,669,8.4,haversine_x1.25_at_80m_per_min
media_lab,bldg3,470,587,7.3,haversine_x1.25_at_80m_per_min
media_lab,bldg10,413,516,6.5,haversine_x1.25_at_80m_per_min
media_lab,bldg2,385,481,6.0,haversine_x1.25_at_80m_per_min
media_lab,bldg4,356,445,5.6,haversine_x1.25_at_80m_per_min
media_lab,bldg6,293,366,4.6,haversine_x1.25_at_80m_per_min
media_lab,hayden,266,332,4.2,haversine_x1.25_at_80m_per_min
media_lab,killian,425,531,6.6,haversine_x1.25_at_80m_per_min
media_lab,bldg26,506,633,7.9,haversine_x1.25_at_80m_per_min
media_lab,bldg45,427,534,6.7,haversine_x1.25_at_80m_per_min
media_lab,bldg46,342,427,5.3,haversine_x1.25_at_80m_per_min
media_lab,stata,248,311,3.9,haversine_x1.25_at_80m_per_min
media_lab,sloan,276,345,4.3,haversine_x1.25_at_80m_per_min
media_lab,mit_medical,283,353,4.4,haversine_x1.25_at_80m_per_min
media_lab,student_center,634,793,9.9,haversine_x1.25_at_80m_per_min
media_lab,kresge,705,882,11.0,haversine_x1.25_at_80m_per_min
media_lab,chapel,661,827,10.3,haversine_x1.25_at_80m_per_min
media_lab,kresge_oval,669,836,10.5,haversine_x1.25_at_80m_per_min
media_lab,zesiger,688,859,10.7,haversine_x1.25_at_80m_per_min
media_lab,johnson,806,1007,12.6,haversine_x1.25_at_80m_per_min
media_lab,central_sq,1459,1824,22.8,haversine_x1.25_at_80m_per_min
media_lab,back_bay,1062,1328,16.6,haversine_x1.25_at_80m_per_min
sloan,maseeh,979,1223,15.3,haversine_x1.25_at_80m_per_min
sloan,mccormick,1231,1539,19.2,haversine_x1.25_at_80m_per_min
sloan,baker,1364,1705,21.3,haversine_x1.25_at_80m_per_min
sloan,burton_conner,1511,1888,23.6,haversine_x1.25_at_80m_per_min
sloan,macgregor,1669,2086,26.1,haversine_x1.25_at_80m_per_min
sloan,new_house,1772,2215,27.7,haversine_x1.25_at_80m_per_min
sloan,next_house,1892,2365,29.6,haversine_x1.25_at_80m_per_min
sloan,simmons,1491,1864,23.3,haversine_x1.25_at_80m_per_min
sloan,east_campus,408,509,6.4,haversine_x1.25_at_80m_per_min
sloan,bldg7,810,1013,12.7,haversine_x1.25_at_80m_per_min
sloan,bldg3,744,930,11.6,haversine_x1.25_at_80m_per_min
sloan,bldg10,689,861,10.8,haversine_x1.25_at_80m_per_min
sloan,bldg2,656,820,10.2,haversine_x1.25_at_80m_per_min
sloan,bldg4,631,789,9.9,haversine_x1.25_at_80m_per_min
sloan,bldg6,566,707,8.8,haversine_x1.25_at_80m_per_min
sloan,hayden,534,667,8.3,haversine_x1.25_at_80m_per_min
sloan,killian,696,870,10.9,haversine_x1.25_at_80m_per_min
sloan,bldg26,773,966,12.1,haversine_x1.25_at_80m_per_min
sloan,bldg45,685,857,10.7,haversine_x1.25_at_80m_per_min
sloan,bldg46,590,738,9.2,haversine_x1.25_at_80m_per_min
sloan,stata,473,592,7.4,haversine_x1.25_at_80m_per_min
sloan,media_lab,276,345,4.3,haversine_x1.25_at_80m_per_min
sloan,mit_medical,244,305,3.8,haversine_x1.25_at_80m_per_min
sloan,student_center,909,1137,14.2,haversine_x1.25_at_80m_per_min
sloan,kresge,978,1223,15.3,haversine_x1.25_at_80m_per_min
sloan,chapel,933,1166,14.6,haversine_x1.25_at_80m_per_min
sloan,kresge_oval,943,1179,14.7,haversine_x1.25_at_80m_per_min
sloan,zesiger,962,1202,15.0,haversine_x1.25_at_80m_per_min
sloan,johnson,1076,1346,16.8,haversine_x1.25_at_80m_per_min
sloan,central_sq,1699,2123,26.5,haversine_x1.25_at_80m_per_min
sloan,back_bay,1141,1426,17.8,haversine_x1.25_at_80m_per_min
mit_medical,maseeh,962,1202,15.0,haversine_x1.25_at_80m_per_min
mit_medical,mccormick,1191,1489,18.6,haversine_x1.25_at_80m_per_min
mit_medical,baker,1311,1639,20.5,haversine_x1.25_at_80m_per_min
mit_medical,burton_conner,1444,1805,22.6,haversine_x1.25_at_80m_per_min
mit_medical,macgregor,1588,1985,24.8,haversine_x1.25_at_80m_per_min
mit_medical,new_house,1680,2100,26.2,haversine_x1.25_at_80m_per_min
mit_medical,next_house,1787,2234,27.9,haversine_x1.25_at_80m_per_min
mit_medical,simmons,1350,1688,21.1,haversine_x1.25_at_80m_per_min
mit_medical,east_campus,465,581,7.3,haversine_x1.25_at_80m_per_min
mit_medical,bldg7,755,944,11.8,haversine_x1.25_at_80m_per_min
mit_medical,bldg3,697,871,10.9,haversine_x1.25_at_80m_per_min
mit_medical,bldg10,627,784,9.8,haversine_x1.25_at_80m_per_min
mit_medical,bldg2,631,789,9.9,haversine_x1.25_at_80m_per_min
mit_medical,bldg4,590,738,9.2,haversine_x1.25_at_80m_per_min
mit_medical,bldg6,539,673,8.4,haversine_x1.25_at_80m_per_min
mit_medical,hayden,527,659,8.2,haversine_x1.25_at_80m_per_min
mit_medical,killian,672,840,10.5,haversine_x1.25_at_80m_per_min
mit_medical,bldg26,657,821,10.3,haversine_x1.25_at_80m_per_min
mit_medical,bldg45,558,698,8.7,haversine_x1.25_at_80m_per_min
mit_medical,bldg46,457,572,7.1,haversine_x1.25_at_80m_per_min
mit_medical,stata,333,416,5.2,haversine_x1.25_at_80m_per_min
mit_medical,media_lab,283,353,4.4,haversine_x1.25_at_80m_per_min
mit_medical,sloan,244,305,3.8,haversine_x1.25_at_80m_per_min
mit_medical,student_center,853,1066,13.3,haversine_x1.25_at_80m_per_min
mit_medical,kresge,935,1168,14.6,haversine_x1.25_at_80m_per_min
mit_medical,chapel,896,1120,14.0,haversine_x1.25_at_80m_per_min
mit_medical,kresge_oval,893,1117,14.0,haversine_x1.25_at_80m_per_min
mit_medical,zesiger,869,1086,13.6,haversine_x1.25_at_80m_per_min
mit_medical,johnson,961,1202,15.0,haversine_x1.25_at_80m_per_min
mit_medical,central_sq,1515,1894,23.7,haversine_x1.25_at_80m_per_min
mit_medical,back_bay,1317,1646,20.6,haversine_x1.25_at_80m_per_min
student_center,maseeh,178,223,2.8,haversine_x1.25_at_80m_per_min
student_center,mccormick,340,425,5.3,haversine_x1.25_at_80m_per_min
student_center,baker,460,575,7.2,haversine_x1.25_at_80m_per_min
student_center,burton_conner,601,752,9.4,haversine_x1.25_at_80m_per_min
student_center,macgregor,761,951,11.9,haversine_x1.25_at_80m_per_min
student_center,new_house,869,1086,13.6,haversine_x1.25_at_80m_per_min
student_center,next_house,998,1248,15.6,haversine_x1.25_at_80m_per_min
student_center,simmons,687,859,10.7,haversine_x1.25_at_80m_per_min
student_center,east_campus,538,673,8.4,haversine_x1.25_at_80m_per_min
student_center,bldg7,99,124,1.6,haversine_x1.25_at_80m_per_min
student_center,bldg3,165,207,2.6,haversine_x1.25_at_80m_per_min
student_center,bldg10,226,283,3.5,haversine_x1.25_at_80m_per_min
student_center,bldg2,261,326,4.1,haversine_x1.25_at_80m_per_min
student_center,bldg4,278,348,4.4,haversine_x1.25_at_80m_per_min
student_center,bldg6,345,431,5.4,haversine_x1.25_at_80m_per_min
student_center,hayden,384,479,6.0,haversine_x1.25_at_80m_per_min
student_center,killian,226,283,3.5,haversine_x1.25_at_80m_per_min
student_center,bldg26,264,329,4.1,haversine_x1.25_at_80m_per_min
student_center,bldg45,348,435,5.4,haversine_x1.25_at_80m_per_min
student_center,bldg46,428,535,6.7,haversine_x1.25_at_80m_per_min
student_center,stata,535,669,8.4,haversine_x1.25_at_80m_per_min
student_center,media_lab,634,793,9.9,haversine_x1.25_at_80m_per_min
student_center,sloan,909,1137,14.2,haversine_x1.25_at_80m_per_min
student_center,mit_medical,853,1066,13.3,haversine_x1.25_at_80m_per_min
student_center,kresge,92,115,1.4,haversine_x1.25_at_80m_per_min
student_center,chapel,83,104,1.3,haversine_x1.25_at_80m_per_min
student_center,kresge_oval,46,58,0.7,haversine_x1.25_at_80m_per_min
student_center,zesiger,143,179,2.2,haversine_x1.25_at_80m_per_min
student_center,johnson,278,348,4.3,haversine_x1.25_at_80m_per_min
student_center,central_sq,1025,1282,16.0,haversine_x1.25_at_80m_per_min
student_center,back_bay,1094,1367,17.1,haversine_x1.25_at_80m_per_min
kresge,maseeh,107,133,1.7,haversine_x1.25_at_80m_per_min
kresge,mccormick,257,321,4.0,haversine_x1.25_at_80m_per_min
kresge,baker,386,483,6.0,haversine_x1.25_at_80m_per_min
kresge,burton_conner,537,671,8.4,haversine_x1.25_at_80m_per_min
